"","LY_2dpa_rep1","LY_2dpa_rep2","LY_2dpa_rep3","median_LY_2dpa"
"PladumEVm000637",27.182,24.808,22.749,24.808
"PladumEVm000641",19.813,21.561,15.182,19.813
"PladumEVm000647",29.302,27.575,27.808,27.808
"PladumEVm000650",13.282,16.262,13.541,13.541
"PladumEVm000651",5.185,5.618,2.801,5.185
"PladumEVm000652",9.748,10.254,9.901,9.901
"PladumEVm000654",5.197,5.348,2.922,5.197
"PladumEVm000656",7.796,8.306,5.24,7.796
"PladumEVm000661",8.092,7.295,4.989,7.295
"PladumEVm000663",16.337,11.836,13.216,13.216
"PladumEVm000665",49.665,54.531,74.53,54.531
"PladumEVm000666",8.252,7.43,4.706,7.43
"PladumEVm000667",19.533,20.784,16.059,19.533
"PladumEVm000669",26.004,33.56,32.882,32.882
"PladumEVm000675",29.264,23.197,34.579,29.264
"PladumEVm000676",19.385,17.043,11.157,17.043
"PladumEVm000680",15.62,14.675,10.125,14.675
"PladumEVm000683",7.532,6.759,5.889,6.759
"PladumEVm000687",13.199,13.06,9.323,13.06
"PladumEVm000691",20.369,14.711,4.847,14.711
"PladumEVm000692",6.299,6.354,7.469,6.354
"PladumEVm000698",7.494,8.045,9.699,8.045
"PladumEVm000700",10.098,9.434,7.142,9.434
"PladumEVm000701",53.401,66.806,48.251,53.401
"PladumEVm000705",6.141,11.653,5.618,6.141
"PladumEVm000706",15.521,16.79,15.389,15.521
"PladumEVm000707",6.245,6.38,4.421,6.245
"PladumEVm000710",6.749,8.052,7.587,7.587
"PladumEVm000712",21.671,23.373,30.524,23.373
"PladumEVm000714",8.122,7.493,6.224,7.493
"PladumEVm000716",5.402,5.139,3.91,5.139
"PladumEVm000721",10.938,11.245,6.751,10.938
"PladumEVm000722",6.576,5.788,6.129,6.129
"PladumEVm000723",13.482,13.202,8.729,13.202
"PladumEVm000728",26.405,24.725,20.951,24.725
"PladumEVm000733",9.146,7.092,5.35,7.092
"PladumEVm000734",18.118,19.22,12.763,18.118
"PladumEVm000736",4.799,7.033,5.785,5.785
"PladumEVm000740",21.612,20.758,20.486,20.758
"PladumEVm000742",10.414,11.441,8.865,10.414
"PladumEVm000745",22.465,23.871,22.605,22.605
"PladumEVm000750",12.725,19.304,13.558,13.558
"PladumEVm000751",12.713,16.668,12.683,12.713
"PladumEVm000753",104.775,108.258,76.451,104.775
"PladumEVm000756",15.327,13.944,18.485,15.327
"PladumEVm000758",0.169,7.604,5.701,5.701
"PladumEVm000762",11.708,9.375,5.177,9.375
"PladumEVm000763",5.491,5.349,4.232,5.349
"PladumEVm000764",7.678,7.026,5.892,7.026
"PladumEVm000765",67.103,54.765,31.868,54.765
"PladumEVm000767",16.267,13.161,9.92,13.161
"PladumEVm000768",17.515,19.453,12.249,17.515
"PladumEVm000771",11.46,12.085,8.762,11.46
"PladumEVm000773",106.691,112.634,125.073,112.634
"PladumEVm000777",18.296,18.518,17.101,18.296
"PladumEVm000778",20.859,23.625,20.318,20.859
"PladumEVm000780",88.602,91.718,79.665,88.602
"PladumEVm000783",10.524,8.24,4.574,8.24
"PladumEVm000790",20.071,20.599,18.752,20.071
"PladumEVm000793",17.598,16.321,12.709,16.321
"PladumEVm000795",29.223,25.177,15.212,25.177
"PladumEVm000796",7.522,6.627,6.04,6.627
"PladumEVm000798",81.327,79.192,60.569,79.192
"PladumEVm000803",6.182,5.789,4.343,5.789
"PladumEVm000807",6.405,6.11,3.703,6.11
"PladumEVm000810",8.543,8.76,6.977,8.543
"PladumEVm000813",17.39,21.479,21.261,21.261
"PladumEVm000814",10.524,9.955,7.706,9.955
"PladumEVm000815",24.702,22.894,22.082,22.894
"PladumEVm000816",20.726,23.656,20.33,20.726
"PladumEVm000817",9.5,11.817,9.018,9.5
"PladumEVm000821",910.985,1008.118,1221.051,1008.118
"PladumEVm000825",13.487,10.664,7.927,10.664
"PladumEVm000828",19.77,21.279,19.187,19.77
"PladumEVm000830",24.838,25.144,29.509,25.144
"PladumEVm000831",8.327,7.498,7.552,7.552
"PladumEVm000835",34.729,19.106,20.812,20.812
"PladumEVm000838",6.692,8.036,6.985,6.985
"PladumEVm000841",6.233,6.149,6.936,6.233
"PladumEVm000842",9.49,10.045,9.183,9.49
"PladumEVm000845",5.419,5.059,1.65,5.059
"PladumEVm000849",12.188,11.952,9.741,11.952
"PladumEVm000852",8.228,9.313,6.401,8.228
"PladumEVm000854",11.998,9.5,7.675,9.5
"PladumEVm000855",10.991,11.389,9.31,10.991
"PladumEVm000859",13.863,14.088,9.705,13.863
"PladumEVm000862",13.432,14.26,9.951,13.432
"PladumEVm000863",160.599,210.907,219.139,210.907
"PladumEVm000864",11.742,12.09,9.409,11.742
"PladumEVm000868",29.266,24.404,22.961,24.404
"PladumEVm000872",18.809,17.541,15.018,17.541
"PladumEVm000873",8.997,8.588,7.015,8.588
"PladumEVm000874",16.337,13.534,5.899,13.534
"PladumEVm000879",8.443,8.295,8.156,8.295
"PladumEVm000880",7.931,7.514,6.173,7.514
"PladumEVm000882",8.555,7.382,5.993,7.382
"PladumEVm000885",8.609,8.48,7.706,8.48
"PladumEVm000887",9.86,9.292,9.379,9.379
"PladumEVm000890",8.69,8.179,7.377,8.179
"PladumEVm000892",39.287,46.482,40.663,40.663
"PladumEVm000898",6.252,5.049,3.69,5.049
"PladumEVm000902",7.282,5.302,6.187,6.187
"PladumEVm000908",18.633,19.448,16.185,18.633
"PladumEVm000911",21.549,19.633,19.444,19.633
"PladumEVm000915",15.704,17.638,11.925,15.704
"PladumEVm000922",17.867,22.371,27.683,22.371
"PladumEVm000924",24.089,22.234,21.074,22.234
"PladumEVm000926",11.595,14.102,11.045,11.595
"PladumEVm000931",9.283,9.429,6.204,9.283
"PladumEVm000932",13.977,12.826,9.879,12.826
"PladumEVm000938",7.336,6.439,6.925,6.925
"PladumEVm000942",13.041,14.617,16.862,14.617
"PladumEVm000948",17.563,15.014,12.323,15.014
"PladumEVm000950",9.378,8.259,6.081,8.259
"PladumEVm000951",42.868,41.935,32.542,41.935
"PladumEVm000953",6.192,6.928,5.574,6.192
"PladumEVm000955",14.564,12.92,12.013,12.92
"PladumEVm000959",16.827,17.425,15.978,16.827
"PladumEVm000963",8.773,9,7.418,8.773
"PladumEVm000966",8.796,10.425,9.638,9.638
"PladumEVm000969",10.75,11.045,7.073,10.75
"PladumEVm000972",22.144,23.394,21.928,22.144
"PladumEVm000976",6.371,5.297,4.347,5.297
"PladumEVm000980",19.264,22.526,17.063,19.264
"PladumEVm000983",15.568,18.078,16.336,16.336
"PladumEVm000984",6.285,7.801,8.505,7.801
"PladumEVm000986",5.166,5.343,3.755,5.166
"PladumEVm000987",11.972,14.017,12.863,12.863
"PladumEVm000989",26.905,34.073,34.727,34.073
"PladumEVm000995",4.731,5.925,5.313,5.313
"PladumEVm000997",15.5,15.765,11.986,15.5
"PladumEVm000998",7.46,8.115,4.006,7.46
"PladumEVm000999",14.136,14.172,14.916,14.172
"PladumEVm001002",9.657,9.722,7.069,9.657
"PladumEVm001003",5.154,6.087,5.547,5.547
"PladumEVm001005",5.765,5.251,6.597,5.765
"PladumEVm001006",7.655,7.173,5.295,7.173
"PladumEVm001007",5.461,6.543,5.658,5.658
"PladumEVm001012",7.279,5.901,6.404,6.404
"PladumEVm001016",16.605,16.536,13.419,16.536
"PladumEVm001017",10.872,10.954,10.752,10.872
"PladumEVm001020",7.21,7.437,6.406,7.21
"PladumEVm001028",6.319,7.758,7.949,7.758
"PladumEVm001031",110.575,116.788,129.45,116.788
"PladumEVm001032",7.832,7.514,4.441,7.514
"PladumEVm001035",23.065,23.441,18.777,23.065
"PladumEVm001036",10.047,11.077,10.771,10.771
"PladumEVm001037",7.839,8.194,6.743,7.839
"PladumEVm001048",72.373,85.447,86.43,85.447
"PladumEVm001049",11.005,11.321,9.159,11.005
"PladumEVm001052",14.491,18.325,16.889,16.889
"PladumEVm001056",11.476,15.991,13.278,13.278
"PladumEVm001058",6.137,5.283,3.61,5.283
"PladumEVm001060",8.98,9.673,8.26,8.98
"PladumEVm001061",32.89,27.847,22.059,27.847
"PladumEVm001063",15.751,16.901,12.953,15.751
"PladumEVm001064",8.636,8.812,7.287,8.636
"PladumEVm001072",8.955,8.586,7.948,8.586
"PladumEVm001074",13.798,14.642,9.396,13.798
"PladumEVm001075",5.408,7.028,7.186,7.028
"PladumEVm001076",8.453,8.43,8.027,8.43
"PladumEVm001080",5.656,5.033,3.363,5.033
"PladumEVm001081",30.015,34.363,34.09,34.09
"PladumEVm001083",28.013,30.464,25.539,28.013
"PladumEVm001085",7.807,7.45,6.276,7.45
"PladumEVm001086",22.31,26.725,25.839,25.839
"PladumEVm001089",21.667,27.75,26.473,26.473
"PladumEVm001095",7.533,5.83,3.914,5.83
"PladumEVm001099",6.379,6.9,5.921,6.379
"PladumEVm001101",9.981,11.678,8.076,9.981
"PladumEVm001105",9.173,9.317,9.157,9.173
"PladumEVm001112",32.972,35.863,31.878,32.972
"PladumEVm001113",20.353,32.227,59.3,32.227
"PladumEVm001116",26.709,26.011,24.984,26.011
"PladumEVm001120",7.179,6.872,3.478,6.872
"PladumEVm001121",6.355,6.181,3.381,6.181
