""	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"PladumEVm104754"	-0.185644477199194	0.0750761624443821	0.141580733321716	0.7067145792064	0.886844624716175
"PladumEVm003503"	0.067174037518669	7.06736547117054	0.141565834667587	0.706729296372892	0.886844624716175
"PladumEVm062710"	0.155881319267803	3.18733699498861	0.141489689946539	0.706804527347311	0.886907175010332
"PladumEVm120688"	0.0635791032655771	5.78636496230415	0.141458973574618	0.706834881659577	0.886913411036235
"PladumEVm052611"	0.218891076387885	0.128671372851022	0.141308410919645	0.706983724040632	0.887068316248496
"PladumEVm057064"	0.244888151401041	-0.119512715722329	0.141251516611413	0.707039991855227	0.887107059124134
"PladumEVm031545"	-0.0807086674377841	3.26219591024136	0.141177547860116	0.707113165437228	0.887139924173669
"PladumEVm179829"	0.249325709563302	0.663328413234489	0.141173704482379	0.707116968096182	0.887139924173669
"PladumEVm002000"	-0.109695163220288	1.35582731483396	0.141082353770653	0.70720736838271	0.887221480930826
"PladumEVm118635"	-0.207028839880105	0.279570526384331	0.141015274734022	0.707273770787124	0.887272926556724
"PladumEVm004429"	-0.076986140873239	3.41297408599359	0.140930704222685	0.70735751391482	0.887317484036469
"PladumEVm001886"	-0.078309181575526	3.52250159498447	0.140928111861701	0.707360081366604	0.887317484036469
"PladumEVm081651"	0.291027769717296	0.200607218870689	0.14085291788728	0.707434564552688	0.887324512650342
"PladumEVm083909"	-0.279448747695307	-0.823184542839779	0.140834397649475	0.707452913204757	0.887324512650342
"PladumEVm016215"	-0.0876166851046444	1.35790206980402	0.140816135890912	0.707471007120071	0.887324512650342
"PladumEVm008167"	-0.0760036879651377	2.0647232698606	0.14080224064138	0.707484775555497	0.887324512650342
"PladumEVm015963"	-0.0931474968855847	4.66766111289796	0.140794277411262	0.707492666459064	0.887324512650342
"PladumEVm128411"	0.323096754648664	0.799640707608152	0.140726522404847	0.707559816376269	0.887376877288147
"PladumEVm107970"	-0.249224335748134	-0.190280629135609	0.14067042063189	0.707615431086636	0.887385845490249
"PladumEVm079065"	-0.0832398206189965	4.58183935007859	0.140643806156028	0.707641818925886	0.887385845490249
"PladumEVm073138"	-0.288563080804759	0.108971915955527	0.140641882409177	0.707643726401356	0.887385845490249
"PladumEVm104531"	-0.102680884681169	1.62317168007846	0.140616838484163	0.707668559858462	0.887385845490249
"PladumEVm098079"	0.253543341459124	1.96117215582198	0.140521867485301	0.707762755651819	0.88747211167524
"PladumEVm005959"	0.0707238333364212	2.71716440732715	0.140472230598149	0.707812001821583	0.887477194293868
"PladumEVm120390"	-0.131133938714524	0.496353927144351	0.140430411877573	0.707853499067779	0.887477194293868
"PladumEVm152642"	0.146394031699328	1.62538988059145	0.140409924591117	0.70787383143334	0.887477194293868
