"","DMSO_1dpa_rep1","DMSO_1dpa_rep2","DMSO_1dpa_rep3","median_DMSO_1dpa"
"PladumEVm001200",10.04,7.545,10.352,10.04
"PladumEVm001201",15.539,10.178,14.484,14.484
"PladumEVm001207",18.647,14.334,19.033,18.647
"PladumEVm001211",16.94,12.846,17.682,16.94
"PladumEVm001213",18.98,21.506,20.304,20.304
"PladumEVm001215",14.306,25.291,34.911,25.291
"PladumEVm001221",47.739,39.726,70.778,47.739
"PladumEVm001227",11.327,7.198,11.022,11.022
"PladumEVm001235",43.663,29.321,35.251,35.251
"PladumEVm001236",10.561,7.741,12.696,10.561
"PladumEVm001239",9.969,10.512,13.306,10.512
"PladumEVm001245",98.252,66.053,102.935,98.252
"PladumEVm001246",10.754,8.971,10.665,10.665
"PladumEVm001254",31.751,23.879,30.57,30.57
"PladumEVm001255",18.134,14.725,16.483,16.483
"PladumEVm001260",55.816,30.75,39.289,39.289
"PladumEVm001268",10.101,8.163,11.041,10.101
"PladumEVm001270",13.654,12.058,16.722,13.654
"PladumEVm001273",14.133,12.923,17.654,14.133
"PladumEVm001279",12.362,12.742,16.781,12.742
"PladumEVm001284",11.618,9.282,18.696,11.618
"PladumEVm001292",11.187,8.734,12.83,11.187
"PladumEVm001294",25.836,23,21.931,23
"PladumEVm001303",11.9,11.004,13.163,11.9
"PladumEVm001325",23.465,19.291,23.444,23.444
"PladumEVm001328",13.591,10.914,21.06,13.591
"PladumEVm001330",37.032,31.182,32.597,32.597
"PladumEVm001335",19.838,29.752,29.975,29.752
"PladumEVm001348",28.455,22.708,22.928,22.928
"PladumEVm001349",24.709,24.416,27.505,24.709
"PladumEVm001356",10.64,9.937,13.584,10.64
"PladumEVm001371",18.789,14.002,21.667,18.789
"PladumEVm001375",11.614,5.47,10.871,10.871
"PladumEVm001376",16.387,15.618,17.212,16.387
"PladumEVm001377",11.765,7.648,10.645,10.645
"PladumEVm001394",33.293,23.13,30.025,30.025
"PladumEVm001408",24.883,17.284,24.29,24.29
"PladumEVm001411",49.207,36.628,52.52,49.207
"PladumEVm001413",14.697,11.766,15.026,14.697
"PladumEVm001415",26.083,17.277,27.316,26.083
"PladumEVm001419",16.396,14.068,17.233,16.396
"PladumEVm001431",14.561,11.256,17.426,14.561
"PladumEVm001466",12.189,10.09,11.383,11.383
"PladumEVm001467",26.769,26.152,35.116,26.769
"PladumEVm001468",16.589,13.314,18.621,16.589
"PladumEVm001484",12.959,10.04,14.967,12.959
"PladumEVm001486",15.908,12.291,15.694,15.694
"PladumEVm001508",10.604,14.962,13.485,13.485
"PladumEVm001513",36.848,26.212,43.786,36.848
"PladumEVm001520",54.784,36.551,42.154,42.154
"PladumEVm001521",8.886,13.64,12.959,12.959
"PladumEVm001527",22.183,12.429,21.869,21.869
"PladumEVm001528",11.663,8.128,10.494,10.494
"PladumEVm001529",13.137,12.31,17.487,13.137
"PladumEVm001534",11.346,12.535,15.87,12.535
"PladumEVm001535",47.679,34.825,52.727,47.679
"PladumEVm001543",21.455,36.396,44.693,36.396
"PladumEVm001549",23.452,24.393,24.08,24.08
"PladumEVm001555",27.497,26.573,23.31,26.573
"PladumEVm001560",10.676,9.078,14.602,10.676
"PladumEVm001562",17.835,18.804,17.356,17.835
"PladumEVm001564",13.573,10.015,10.178,10.178
"PladumEVm001577",12.554,9.698,15.055,12.554
"PladumEVm001578",7.408,10.436,11.303,10.436
"PladumEVm001589",13.442,11.824,14.573,13.442
"PladumEVm001593",25.098,23.717,27.167,25.098
"PladumEVm001609",24.48,18.879,32.181,24.48
"PladumEVm001617",13.636,13.282,15.402,13.636
"PladumEVm001633",12,9.123,13.333,12
"PladumEVm001638",13.211,13.395,15.463,13.395
"PladumEVm001643",10.09,10.081,12.069,10.09
"PladumEVm001657",8.056,11.05,10.23,10.23
"PladumEVm001661",13.562,11.141,13.752,13.562
"PladumEVm001668",25.173,22.883,30.436,25.173
"PladumEVm001670",13.018,8.157,13.57,13.018
"PladumEVm001689",24.165,17.605,25.182,24.165
"PladumEVm001691",12.271,10.557,12.054,12.054
"PladumEVm001693",17.59,15.1,13.678,15.1
"PladumEVm001702",19,17.014,15.754,17.014
"PladumEVm001706",13.688,11.58,15.088,13.688
"PladumEVm001710",15.537,14.346,17.916,15.537
"PladumEVm001717",17.998,12.779,14.594,14.594
"PladumEVm001726",11.428,7.466,12.612,11.428
"PladumEVm001733",22.315,19.63,19.69,19.69
"PladumEVm001736",12.991,8.405,13.069,12.991
"PladumEVm001739",58.336,37.328,60.487,58.336
"PladumEVm001740",21.836,29.144,35.206,29.144
"PladumEVm001741",136.058,105.872,135.277,135.277
"PladumEVm001754",19.743,12.813,20.439,19.743
"PladumEVm001761",11.711,8.932,13.674,11.711
"PladumEVm001764",34.744,23.46,33.163,33.163
"PladumEVm001776",10.857,8.56,11.127,10.857
"PladumEVm001777",10.136,11.32,10.72,10.72
"PladumEVm001793",25.382,20.641,22.727,22.727
"PladumEVm001808",136.442,126.027,160.824,136.442
"PladumEVm001809",16.743,10.26,11.089,11.089
"PladumEVm001810",17.149,13.729,16.436,16.436
"PladumEVm001838",17.568,12.869,16.38,16.38
"PladumEVm001855",11.701,8.936,16.554,11.701
"PladumEVm001858",87.77,74.462,99.016,87.77
"PladumEVm001866",17.19,13.353,19.46,17.19
"PladumEVm001886",13.008,10.093,12.213,12.213
"PladumEVm001919",11.203,6.321,11.746,11.203
"PladumEVm001925",10.629,7.913,10.792,10.629
"PladumEVm001927",14.151,9.838,22.465,14.151
"PladumEVm001928",13.342,10.134,10.634,10.634
"PladumEVm001937",56.827,40.572,48.192,48.192
"PladumEVm001942",10.001,8.129,10.583,10.001
"PladumEVm001948",10.343,10.595,9.137,10.343
"PladumEVm001955",10.145,8.002,12.016,10.145
"PladumEVm001960",9.482,10.739,10.894,10.739
"PladumEVm001970",12.848,15.311,15.27,15.27
"PladumEVm001979",11.585,15.068,15,15
"PladumEVm001983",11.865,9.811,11.748,11.748
"PladumEVm001986",11.508,10.121,10.085,10.121
"PladumEVm001987",29.978,22.084,29.123,29.123
"PladumEVm001990",18.376,16.738,22.153,18.376
"PladumEVm001998",13.382,13.916,15.234,13.916
"PladumEVm002022",63.684,40.632,74.777,63.684
"PladumEVm002023",20.163,19.664,17.326,19.664
"PladumEVm002026",10.605,7.489,11.4,10.605
"PladumEVm002035",27.123,17.387,20.143,20.143
"PladumEVm002038",20.763,24.927,19.487,20.763
"PladumEVm002048",16.737,11.307,14.86,14.86
"PladumEVm002054",16.631,9.979,14.434,14.434
"PladumEVm002058",15.98,9.555,10.221,10.221
"PladumEVm002063",37.879,23.716,38.392,37.879
"PladumEVm002064",31.733,22.064,29.788,29.788
"PladumEVm002067",57.316,45.044,58.648,57.316
"PladumEVm002069",11.611,9.997,10.662,10.662
"PladumEVm002075",10.489,7.016,10.748,10.489
"PladumEVm002077",11.883,8.755,12.233,11.883
"PladumEVm002083",25.097,20.493,24.11,24.11
"PladumEVm002087",8.045,15.232,13.067,13.067
"PladumEVm002113",29.924,19.853,28.182,28.182
"PladumEVm002117",13.934,13.326,16.618,13.934
